🐾	paw prints	feet, paw, paw prints, print
🦃	turkey	bird, turkey
🐔	chicken	bird, chicken
🐓	rooster	bird, rooster
🐣	hatching chick	baby, bird, chick, hatching
🐤	baby chick	baby, bird, chick
🐥	front-facing baby chick	baby, bird, chick, front-facing baby chick
🐦	bird	bird
🐧	penguin	bird, penguin
🕊️	dove	bird, dove, fly, peace
🦅	eagle	bird, eagle
🦆	duck	bird, duck
🦢	swan	bird, cygnet, swan, ugly duckling
🦉	owl	bird, owl, wise
🦤	dodo	dodo, extinction, large, Mauritius
🪶	feather	bird, feather, flight, light, plumage
🦩	flamingo	flamboyant, flamingo, tropical
🦚	peacock	bird, ostentatious, peacock, peahen, proud
🦜	parrot	bird, parrot, pirate, talk
🪽	wing	
🐦‍⬛	black bird	
🪿	goose	
🐦‍🔥	phoenix	
🐸	frog	face, frog
🐊	crocodile	crocodile
🐢	turtle	terrapin, tortoise, turtle
🦎	lizard	lizard, reptile
🐍	snake	bearer, Ophiuchus, serpent, snake, zodiac
🐲	dragon face	dragon, face, fairy tale
🐉	dragon	dragon, fairy tale
🦕	sauropod	brachiosaurus, brontosaurus, diplodocus, sauropod
🦖	T-Rex	T-Rex, Tyrannosaurus Rex
🐳	spouting whale	face, spouting, whale
🐋	whale	whale
🐬	dolphin	dolphin, flipper
🫍	orca	
🦭	seal	sea Lion, seal
🐟	fish	fish, Pisces, zodiac
🐠	tropical fish	fish, tropical
🐡	blowfish	blowfish, fish
🦈	shark	fish, shark
🐙	octopus	octopus
🐚	spiral shell	shell, spiral
🪸	coral	
🪼	jellyfish	
🦀	crab	Cancer, crab, zodiac
🦞	lobster	bisque, claws, lobster, seafood
🦐	shrimp	food, shellfish, shrimp, small
🦑	squid	food, molusc, squid
🦪	oyster	diving, oyster, pearl
🐌	snail	snail
🦋	butterfly	butterfly, insect, pretty
🐛	bug	bug, insect
🐜	ant	ant, insect
🐝	honeybee	bee, honeybee, insect
🪲	beetle	beetle, bug, insect
🐞	lady beetle	beetle, insect, lady beetle, ladybird, ladybug
🦗	cricket	cricket, grasshopper
🪳	cockroach	cockroach, insect, pest, roach
🕷️	spider	insect, spider
🕸️	spider web	spider, web
🦂	scorpion	scorpio, Scorpio, scorpion, zodiac
🦟	mosquito	disease, fever, malaria, mosquito, pest, virus
🪰	fly	disease, fly, maggot, pest, rotting
🪱	worm	annelid, earthworm, parasite, worm
🦠	microbe	amoeba, bacteria, microbe, virus
💐	bouquet	bouquet, flower
🌸	cherry blossom	blossom, cherry, flower
💮	white flower	flower, white flower
🪷	lotus	
🏵️	rosette	plant, rosette
🌹	rose	flower, rose
🥀	wilted flower	flower, wilted
🌺	hibiscus	flower, hibiscus
🌻	sunflower	flower, sun, sunflower
🌼	blossom	blossom, flower
🌷	tulip	flower, tulip
🪻	hyacinth	
🌱	seedling	seedling, young
🪴	potted plant	boring, grow, house, nurturing, plant, potted plant, useless
🌲	evergreen tree	evergreen tree, tree
🌳	deciduous tree	deciduous, shedding, tree
🌴	palm tree	palm, tree
🌵	cactus	cactus, plant
🌾	sheaf of rice	ear, grain, rice, sheaf of rice
🌿	herb	herb, leaf
☘️	shamrock	plant, shamrock
🍀	four leaf clover	4, clover, four, four-leaf clover, leaf
🍁	maple leaf	falling, leaf, maple
🍂	fallen leaf	fallen leaf, falling, leaf
🍃	leaf fluttering in wind	blow, flutter, leaf, leaf fluttering in wind, wind
🪹	empty nest	
🪺	nest with eggs	
🍄	mushroom	mushroom, toadstool
🪾	leafless tree	
🏁	chequered flag	checkered, chequered, chequered flag, racing
🚩	triangular flag	post, triangular flag
🎌	crossed flags	celebration, cross, crossed, crossed flags, Japanese
🏴	black flag	black flag, waving
🏳️	white flag	waving, white flag
🏳️‍🌈	rainbow flag	
🏳️‍⚧️	transgender flag	
🏴‍☠️	pirate flag	
🇦🇨	flag: Ascension Island	
🇦🇩	flag: Andorra	
🇦🇪	flag: United Arab Emirates	
🇦🇫	flag: Afghanistan	
🇦🇬	flag: Antigua &amp; Barbuda	
🇦🇮	flag: Anguilla	
🇦🇱	flag: Albania	
🇦🇲	flag: Armenia	
🇦🇴	flag: Angola	
🇦🇶	flag: Antarctica	
🇦🇷	flag: Argentina	
🇦🇸	flag: American Samoa	
🇦🇹	flag: Austria	
🇦🇺	flag: Australia	
🇦🇼	flag: Aruba	
🇦🇽	flag: Åland Islands	
🇦🇿	flag: Azerbaijan	
🇧🇦	flag: Bosnia &amp; Herzegovina	
🇧🇧	flag: Barbados	
🇧🇩	flag: Bangladesh	
🇧🇪	flag: Belgium	
🇧🇫	flag: Burkina Faso	
🇧🇬	flag: Bulgaria	
🇧🇭	flag: Bahrain	
🇧🇮	flag: Burundi	
🇧🇯	flag: Benin	
🇧🇱	flag: St. Barthélemy	
🇧🇲	flag: Bermuda	
🇧🇳	flag: Brunei	
🇧🇴	flag: Bolivia	
🇧🇶	flag: Caribbean Netherlands	
🇧🇷	flag: Brazil	
🇧🇸	flag: Bahamas	
🇧🇹	flag: Bhutan	
🇧🇻	flag: Bouvet Island	
🇧🇼	flag: Botswana	
🇧🇾	flag: Belarus	
🇧🇿	flag: Belize	
🇨🇦	flag: Canada	
🇨🇨	flag: Cocos (Keeling) Islands	
🇨🇩	flag: Congo - Kinshasa	
🇨🇫	flag: Central African Republic	
🇨🇬	flag: Congo - Brazzaville	
🇨🇭	flag: Switzerland	
🇨🇮	flag: Côte d’Ivoire	
🇨🇰	flag: Cook Islands	
🇨🇱	flag: Chile	
🇨🇲	flag: Cameroon	
🇨🇳	flag: China	
🇨🇴	flag: Colombia	
🇨🇵	flag: Clipperton Island	
🇨🇶	flag: Sark	
🇨🇷	flag: Costa Rica	
🇨🇺	flag: Cuba	
🇨🇻	flag: Cape Verde	
🇨🇼	flag: Curaçao	
🇨🇽	flag: Christmas Island	
🇨🇾	flag: Cyprus	
🇨🇿	flag: Czechia	
🇩🇪	flag: Germany	
🇩🇬	flag: Diego Garcia	
🇩🇯	flag: Djibouti	
🇩🇰	flag: Denmark	
🇩🇲	flag: Dominica	
🇩🇴	flag: Dominican Republic	
🇩🇿	flag: Algeria	
🇪🇦	flag: Ceuta &amp; Melilla	
🇪🇨	flag: Ecuador	
🇪🇪	flag: Estonia	
🇪🇬	flag: Egypt	
🇪🇭	flag: Western Sahara	
🇪🇷	flag: Eritrea	
🇪🇸	flag: Spain	
🇪🇹	flag: Ethiopia	
🇪🇺	flag: European Union	
🇫🇮	flag: Finland	
🇫🇯	flag: Fiji	
🇫🇰	flag: Falkland Islands	
🇫🇲	flag: Micronesia	
🇫🇴	flag: Faroe Islands	
🇫🇷	flag: France	
🇬🇦	flag: Gabon	
🇬🇧	flag: United Kingdom	
🇬🇩	flag: Grenada	
🇬🇪	flag: Georgia	
🇬🇫	flag: French Guiana	
🇬🇬	flag: Guernsey	
🇬🇭	flag: Ghana	
🇬🇮	flag: Gibraltar	
🇬🇱	flag: Greenland	
🇬🇲	flag: Gambia	
🇬🇳	flag: Guinea	
🇬🇵	flag: Guadeloupe	
🇬🇶	flag: Equatorial Guinea	
🇬🇷	flag: Greece	
🇬🇸	flag: South Georgia &amp; South Sandwich Islands	
🇬🇹	flag: Guatemala	
🇬🇺	flag: Guam	
🇬🇼	flag: Guinea-Bissau	
🇬🇾	flag: Guyana	
🇭🇰	flag: Hong Kong SAR China	
🇭🇲	flag: Heard &amp; McDonald Islands	
🇭🇳	flag: Honduras	
🇭🇷	flag: Croatia	
🇭🇹	flag: Haiti	
🇭🇺	flag: Hungary	
🇮🇨	flag: Canary Islands	
🇮🇩	flag: Indonesia	
🇮🇪	flag: Ireland	
🇮🇱	flag: Israel	
🇮🇲	flag: Isle of Man	
🇮🇳	flag: India	
🇮🇴	flag: British Indian Ocean Territory	
🇮🇶	flag: Iraq	
🇮🇷	flag: Iran	
🇮🇸	flag: Iceland	
🇮🇹	flag: Italy	
🇯🇪	flag: Jersey	
🇯🇲	flag: Jamaica	
🇯🇴	flag: Jordan	
🇯🇵	flag: Japan	
🇰🇪	flag: Kenya	
🇰🇬	flag: Kyrgyzstan	
🇰🇭	flag: Cambodia	
🇰🇮	flag: Kiribati	
🇰🇲	flag: Comoros	
🇰🇳	flag: St. Kitts &amp; Nevis	
🇰🇵	flag: North Korea	
🇰🇷	flag: South Korea	
🇰🇼	flag: Kuwait	
🇰🇾	flag: Cayman Islands	
🇰🇿	flag: Kazakhstan	
🇱🇦	flag: Laos	
🇱🇧	flag: Lebanon	
🇱🇨	flag: St. Lucia	
🇱🇮	flag: Liechtenstein	
🇱🇰	flag: Sri Lanka	
🇱🇷	flag: Liberia	
🇱🇸	flag: Lesotho	
🇱🇹	flag: Lithuania	
🇱🇺	flag: Luxembourg	
🇱🇻	flag: Latvia	
🇱🇾	flag: Libya	
🇲🇦	flag: Morocco	
🇲🇨	flag: Monaco	
🇲🇩	flag: Moldova	
🇲🇪	flag: Montenegro	
🇲🇫	flag: St. Martin	
🇲🇬	flag: Madagascar	
🇲🇭	flag: Marshall Islands	
🇲🇰	flag: North Macedonia	
🇲🇱	flag: Mali	
🇲🇲	flag: Myanmar (Burma)	
🇲🇳	flag: Mongolia	
🇲🇴	flag: Macao SAR China	
🇲🇵	flag: Northern Mariana Islands	
🇲🇶	flag: Martinique	
🇲🇷	flag: Mauritania	
🇲🇸	flag: Montserrat	
🇲🇹	flag: Malta	
🇲🇺	flag: Mauritius	
🇲🇻	flag: Maldives	
🇲🇼	flag: Malawi	
🇲🇽	flag: Mexico	
🇲🇾	flag: Malaysia	
🇲🇿	flag: Mozambique	
🇳🇦	flag: Namibia	
🇳🇨	flag: New Caledonia	
🇳🇪	flag: Niger	
🇳🇫	flag: Norfolk Island	
🇳🇬	flag: Nigeria	
🇳🇮	flag: Nicaragua	
🇳🇱	flag: Netherlands	
🇳🇴	flag: Norway	
🇳🇵	flag: Nepal	
🇳🇷	flag: Nauru	
🇳🇺	flag: Niue	
🇳🇿	flag: New Zealand	
🇴🇲	flag: Oman	
🇵🇦	flag: Panama	
🇵🇪	flag: Peru	
🇵🇫	flag: French Polynesia	
🇵🇬	flag: Papua New Guinea	
🇵🇭	flag: Philippines	
🇵🇰	flag: Pakistan	
🇵🇱	flag: Poland	
🇵🇲	flag: St. Pierre &amp; Miquelon	
🇵🇳	flag: Pitcairn Islands	
🇵🇷	flag: Puerto Rico	
🇵🇸	flag: Palestinian Territories	
🇵🇹	flag: Portugal	
🇵🇼	flag: Palau	
🇵🇾	flag: Paraguay	
🇶🇦	flag: Qatar	
🇷🇪	flag: Réunion	
🇷🇴	flag: Romania	
🇷🇸	flag: Serbia	
🇷🇺	flag: Russia	
🇷🇼	flag: Rwanda	
🇸🇦	flag: Saudi Arabia	
🇸🇧	flag: Solomon Islands	
🇸🇨	flag: Seychelles	
🇸🇩	flag: Sudan	
🇸🇪	flag: Sweden	
🇸🇬	flag: Singapore	
🇸🇭	flag: St. Helena	
🇸🇮	flag: Slovenia	
🇸🇯	flag: Svalbard &amp; Jan Mayen	
🇸🇰	flag: Slovakia	
🇸🇱	flag: Sierra Leone	
🇸🇲	flag: San Marino	
🇸🇳	flag: Senegal	
🇸🇴	flag: Somalia	
🇸🇷	flag: Suriname	
🇸🇸	flag: South Sudan	
🇸🇹	flag: São Tomé &amp; Príncipe	
🇸🇻	flag: El Salvador	
🇸🇽	flag: Sint Maarten	
🇸🇾	flag: Syria	
🇸🇿	flag: Eswatini	
🇹🇦	flag: Tristan da Cunha	
🇹🇨	flag: Turks &amp; Caicos Islands	
🇹🇩	flag: Chad	
🇹🇫	flag: French Southern Territories	
🇹🇬	flag: Togo	
🇹🇭	flag: Thailand	
🇹🇯	flag: Tajikistan	
🇹🇰	flag: Tokelau	
🇹🇱	flag: Timor-Leste	
🇹🇲	flag: Turkmenistan	
🇹🇳	flag: Tunisia	
🇹🇴	flag: Tonga	
🇹🇷	flag: Türkiye	
🇹🇹	flag: Trinidad &amp; Tobago	
🇹🇻	flag: Tuvalu	
🇹🇼	flag: Taiwan	
🇹🇿	flag: Tanzania	
🇺🇦	flag: Ukraine	
🇺🇬	flag: Uganda	
🇺🇲	flag: U.S. Outlying Islands	
🇺🇳	flag: United Nations	
🇺🇸	flag: United States	
🇺🇾	flag: Uruguay	
🇺🇿	flag: Uzbekistan	
🇻🇦	flag: Vatican City	
🇻🇨	flag: St. Vincent &amp; Grenadines	
🇻🇪	flag: Venezuela	
🇻🇬	flag: British Virgin Islands	
🇻🇮	flag: U.S. Virgin Islands	
🇻🇳	flag: Vietnam	
🇻🇺	flag: Vanuatu	
🇼🇫	flag: Wallis &amp; Futuna	
🇼🇸	flag: Samoa	
🇽🇰	flag: Kosovo	
🇾🇪	flag: Yemen	
🇾🇹	flag: Mayotte	
🇿🇦	flag: South Africa	
🇿🇲	flag: Zambia	
🇿🇼	flag: Zimbabwe	
🏴󠁧󠁢󠁥󠁮󠁧󠁿	flag: England	
🏴󠁧󠁢󠁳󠁣󠁴󠁿	flag: Scotland	
🏴󠁧󠁢󠁷󠁬󠁳󠁿	flag: Wales	
🍇	grapes	fruit, grape, grapes
🍈	melon	fruit, melon
🍉	watermelon	fruit, watermelon
🍊	tangerine	fruit, orange, tangerine
🍋	lemon	citrus, fruit, lemon
🍋‍🟩	lime	
🍌	banana	banana, fruit
🍍	pineapple	fruit, pineapple
🥭	mango	fruit, mango, tropical
🍎	red apple	apple, fruit, red
🍏	green apple	apple, fruit, green
🍐	pear	fruit, pear
🍑	peach	fruit, peach
🍒	cherries	berries, cherries, cherry, fruit, red
🍓	strawberry	berry, fruit, strawberry
🫐	blueberries	berry, bilberry, blue, blueberries, blueberry
🥝	kiwi fruit	food, fruit, kiwi
🍅	tomato	fruit, tomato, vegetable
🫒	olive	food, olive
🥥	coconut	coconut, palm, piña colada
🥑	avocado	avocado, food, fruit
🍆	eggplant	aubergine, eggplant, vegetable
🥔	potato	food, potato, vegetable
🥕	carrot	carrot, food, vegetable
🌽	ear of corn	corn, ear, ear of corn, maize, maze
🌶️	hot pepper	hot, pepper
🫑	bell pepper	bell pepper, capsicum, pepper, vegetable
🥒	cucumber	cucumber, food, pickle, vegetable
🥬	leafy green	bok choy, cabbage, kale, leafy green, lettuce
🥦	broccoli	broccoli, wild cabbage
🧄	garlic	flavoring, garlic
🧅	onion	flavoring, onion
🥜	peanuts	food, nut, peanut, peanuts, vegetable
🫘	beans	
🌰	chestnut	chestnut, plant
🫚	ginger root	
🫛	pea pod	
🍄‍🟫	brown mushroom	
🫜	root vegetable	
🍞	bread	bread, loaf
🥐	croissant	bread, breakfast, croissant, food, french, roll
🥖	baguette bread	baguette, bread, food, french
🫓	flatbread	arepa, flatbread, lavash, naan, pita
🥨	pretzel	pretzel, twisted
🥯	bagel	bagel, bakery, breakfast, schmear
🥞	pancakes	breakfast, crêpe, food, hotcake, pancake, pancakes
🧇	waffle	breakfast, indecisive, iron, waffle
🧀	cheese wedge	cheese, cheese wedge
🍖	meat on bone	bone, meat, meat on bone
🍗	poultry leg	bone, chicken, drumstick, leg, poultry
🥩	cut of meat	chop, cut of meat, lambchop, porkchop, steak
🥓	bacon	bacon, breakfast, food, meat
🍔	hamburger	burger, hamburger
🍟	french fries	french, fries
🍕	pizza	cheese, pizza, slice
🌭	hot dog	frankfurter, hot dog, hotdog, sausage
🥪	sandwich	bread, sandwich
🌮	taco	mexican, taco
🌯	burrito	burrito, mexican, wrap
🫔	tamale	mexican, tamale, wrapped
🥙	stuffed flatbread	falafel, flatbread, food, gyro, kebab, stuffed
🧆	falafel	chickpea, falafel, meatball
🥚	egg	breakfast, egg, food
🍳	cooking	breakfast, cooking, egg, frying, pan
🥘	shallow pan of food	casserole, food, paella, pan, shallow, shallow pan of food
🍲	pot of food	pot, pot of food, stew
🫕	fondue	cheese, chocolate, fondue, melted, pot, Swiss
🥣	bowl with spoon	bowl with spoon, breakfast, cereal, congee
🥗	green salad	food, green, salad
🍿	popcorn	popcorn
🧈	butter	butter, dairy
🧂	salt	condiment, salt, shaker
🥫	canned food	can, canned food
🍱	bento box	bento, box
🍘	rice cracker	cracker, rice
🍙	rice ball	ball, Japanese, rice
🍚	cooked rice	cooked, rice
🍛	curry rice	curry, rice
🍜	steaming bowl	bowl, noodle, ramen, steaming
🍝	spaghetti	pasta, spaghetti
🍠	roasted sweet potato	potato, roasted, sweet
🍢	oden	kebab, oden, seafood, skewer, stick
🍣	sushi	sushi
🍤	fried shrimp	fried, prawn, shrimp, tempura
🍥	fish cake with swirl	cake, fish, fish cake with swirl, pastry, swirl
🥮	moon cake	autumn, festival, moon cake, yuèbǐng
🍡	dango	dango, dessert, Japanese, skewer, stick, sweet
🥟	dumpling	dumpling, empanada, gyōza, jiaozi, pierogi, potsticker
🥠	fortune cookie	fortune cookie, prophecy
🥡	takeout box	oyster pail, takeout box
🍦	soft ice cream	cream, dessert, ice, icecream, soft, sweet
🍧	shaved ice	dessert, ice, shaved, sweet
🍨	ice cream	cream, dessert, ice, sweet
🍩	doughnut	breakfast, dessert, donut, doughnut, sweet
🍪	cookie	cookie, dessert, sweet
🎂	birthday cake	birthday, cake, celebration, dessert, pastry, sweet
🍰	shortcake	cake, dessert, pastry, shortcake, slice, sweet
🧁	cupcake	bakery, cupcake, sweet
🥧	pie	filling, pastry, pie
🍫	chocolate bar	bar, chocolate, dessert, sweet
🍬	candy	candy, dessert, sweet
🍭	lollipop	candy, dessert, lollipop, sweet
🍮	custard	custard, dessert, pudding, sweet
🍯	honey pot	honey, honeypot, pot, sweet
🍼	baby bottle	baby, bottle, drink, milk
🥛	glass of milk	drink, glass, glass of milk, milk
☕	hot beverage	beverage, coffee, drink, hot, steaming, tea
🫖	teapot	drink, pot, tea, teapot
🍵	teacup without handle	beverage, cup, drink, tea, teacup, teacup without handle
🍶	sake	bar, beverage, bottle, cup, drink, sake
🍾	bottle with popping cork	bar, bottle, bottle with popping cork, cork, drink, popping
🍷	wine glass	bar, beverage, drink, glass, wine
🍸	cocktail glass	bar, cocktail, drink, glass
🍹	tropical drink	bar, drink, tropical
🍺	beer mug	bar, beer, drink, mug
🍻	clinking beer mugs	bar, beer, clink, clinking beer mugs, drink, mug
🥂	clinking glasses	celebrate, clink, clinking glasses, drink, glass
🥃	tumbler glass	glass, liquor, shot, tumbler, whisky
🫗	pouring liquid	
🥤	cup with straw	cup with straw, juice, soda
🧋	bubble tea	bubble, milk, pearl, tea
🧃	beverage box	beverage, box, juice, straw, sweet
🧉	mate	drink, mate
🧊	ice	cold, ice, ice cube, iceberg
🥢	chopsticks	chopsticks, hashi
🍽️	fork and knife with plate	cooking, fork, fork and knife with plate, knife, plate
🍴	fork and knife	cooking, cutlery, fork, fork and knife, knife
🥄	spoon	spoon, tableware
🔪	kitchen knife	cooking, hocho, kitchen knife, knife, tool, weapon
🫙	jar	
🏺	amphora	amphora, Aquarius, cooking, drink, jug, zodiac
👓	glasses	clothing, eye, eyeglasses, eyewear, glasses
🕶️	sunglasses	dark, eye, eyewear, glasses, sunglasses
🥽	goggles	eye protection, goggles, swimming, welding
🥼	lab coat	doctor, experiment, lab coat, scientist
🦺	safety vest	emergency, safety, vest
👔	necktie	clothing, necktie, tie
👕	t-shirt	clothing, shirt, t-shirt, tshirt
👖	jeans	clothing, jeans, pants, trousers
🧣	scarf	neck, scarf
🧤	gloves	gloves, hand
🧥	coat	coat, jacket
🧦	socks	socks, stocking
👗	dress	clothing, dress
👘	kimono	clothing, kimono
🥻	sari	clothing, dress, sari
🩱	one-piece swimsuit	bathing suit, one-piece swimsuit
🩲	briefs	bathing suit, briefs, one-piece, swimsuit, underwear
🩳	shorts	bathing suit, pants, shorts, underwear
👙	bikini	bikini, clothing, swim
👚	woman’s clothes	clothing, woman, woman’s clothes
🪭	folding hand fan	
👛	purse	clothing, coin, purse
👜	handbag	bag, clothing, handbag, purse
👝	clutch bag	bag, clothing, clutch bag, pouch
🛍️	shopping bags	bag, hotel, shopping, shopping bags
🎒	backpack	backpack, bag, rucksack, satchel, school
🩴	thong sandal	beach sandals, sandals, thong sandal, thong sandals, thongs, zōri
👞	man’s shoe	clothing, man, man’s shoe, shoe
👟	running shoe	athletic, clothing, running shoe, shoe, sneaker
🥾	hiking boot	backpacking, boot, camping, hiking
🥿	flat shoe	ballet flat, flat shoe, slip-on, slipper
👠	high-heeled shoe	clothing, heel, high-heeled shoe, shoe, woman
👡	woman’s sandal	clothing, sandal, shoe, woman, woman’s sandal
🩰	ballet shoes	ballet, ballet shoes, dance
👢	woman’s boot	boot, clothing, shoe, woman, woman’s boot
🪮	hair pick	
👑	crown	clothing, crown, king, queen
👒	woman’s hat	clothing, hat, woman, woman’s hat
🎩	top hat	clothing, hat, top, tophat
🎓	graduation cap	cap, celebration, clothing, graduation, hat
🧢	billed cap	baseball cap, billed cap
🪖	military helmet	army, helmet, military, soldier, warrior
⛑️	rescue worker’s helmet	aid, cross, face, hat, helmet, rescue worker’s helmet
📿	prayer beads	beads, clothing, necklace, prayer, religion
💄	lipstick	cosmetics, lipstick, makeup
💍	ring	diamond, ring
💎	gem stone	diamond, gem, gem stone, jewel
🔇	muted speaker	mute, muted speaker, quiet, silent, speaker
🔈	speaker low volume	soft, speaker low volume
🔉	speaker medium volume	medium, speaker medium volume
🔊	speaker high volume	loud, speaker high volume
📢	loudspeaker	loud, loudspeaker, public address
📣	megaphone	cheering, megaphone
📯	postal horn	horn, post, postal
🔔	bell	bell
🔕	bell with slash	bell, bell with slash, forbidden, mute, quiet, silent
🎼	musical score	music, musical score, score
🎵	musical note	music, musical note, note
🎶	musical notes	music, musical notes, note, notes
🎙️	studio microphone	mic, microphone, music, studio
🎚️	level slider	level, music, slider
